Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
Q140014	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
Q8W4P1	Streptophyta	Eukaryota	Magnoliopsida	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nuclear body [GO:0016604]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; carpel development [GO:0048440]; flower development [GO:0009908]; mRNA processing [GO:0006397]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein phosphorylation [GO:0006468]; regulation of viral process [GO:0050792]; response to virus [GO:0009615]; response to water deprivation [GO:0009414]	carpel development [GO:0048440]; flower development [GO:0009908]; mRNA processing [GO:0006397]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein phosphorylation [GO:0006468]; regulation of viral process [GO:0050792]; response to virus [GO:0009615]; response to water deprivation [GO:0009414]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; kinase activity [GO:0016301]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine kinase activity [GO:0106310]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nuclear body [GO:0016604]; nucleus [GO:0005634]	GO:0000307; GO:0004693; GO:0004712; GO:0005524; GO:0005634; GO:0006397; GO:0006468; GO:0008353; GO:0009414; GO:0009615; GO:0009908; GO:0016301; GO:0016604; GO:0032968; GO:0048440; GO:0050792; GO:0070816; GO:0106310	Cyclin-dependent kinase C-2 (CDKC;2) (EC 2.7.11.22) (EC 2.7.11.23)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	KOG0600;	None	CLU_000288_181_1_1;	MDALKHP;	925637at2759;	PF00069;	SM00220;	SSF56112;
P97377	Chordata	Eukaryota	Mammalia	Cajal body [GO:0015030]; centrosome [GO:0005813]; chromosome, telomeric region [GO:0000781]; condensed chromosome [GO:0000793]; cyclin A1-CDK2 complex [GO:0097123]; cyclin A2-CDK2 complex [GO:0097124]; cyclin E1-CDK2 complex [GO:0097134]; cyclin E2-CDK2 complex [GO:0097135]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; X chromosome [GO:0000805]; Y chromosome [GO:0000806]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone kinase activity [GO:0035173]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein-containing complex binding [GO:0044877]; cell division [GO:0051301]; cellular response to insulin stimulus [GO:0032869]; centriole replication [GO:0007099]; DNA repair [GO:0006281]; G1/S transition of mitotic cell cycle [GO:0000082]; histone phosphorylation [GO:0016572]; meiotic cell cycle [GO:0051321]; negative regulation of transcription by RNA polymerase II [GO:0000122]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-dependent DNA replication initiation [GO:0032298]; positive regulation of heterochromatin assembly [GO:0031453]; positive regulation of transcription, DNA-templated [GO:0045893]; potassium ion transport [GO:0006813]; protein phosphorylation [GO:0006468]; Ras protein signal transduction [GO:0007265]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; response to cAMP [GO:0051591]; response to electrical stimulus [GO:0051602]; signal transduction [GO:0007165]	cell division [GO:0051301]; cellular response to insulin stimulus [GO:0032869]; centriole replication [GO:0007099]; DNA repair [GO:0006281]; G1/S transition of mitotic cell cycle [GO:0000082]; histone phosphorylation [GO:0016572]; meiotic cell cycle [GO:0051321]; negative regulation of transcription by RNA polymerase II [GO:0000122]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-dependent DNA replication initiation [GO:0032298]; positive regulation of heterochromatin assembly [GO:0031453]; positive regulation of transcription, DNA-templated [GO:0045893]; potassium ion transport [GO:0006813]; protein phosphorylation [GO:0006468]; Ras protein signal transduction [GO:0007265]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; response to cAMP [GO:0051591]; response to electrical stimulus [GO:0051602]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone kinase activity [GO:0035173]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]	Cajal body [GO:0015030]; centrosome [GO:0005813]; chromosome, telomeric region [GO:0000781]; condensed chromosome [GO:0000793]; cyclin A1-CDK2 complex [GO:0097123]; cyclin A2-CDK2 complex [GO:0097124]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cyclin E1-CDK2 complex [GO:0097134]; cyclin E2-CDK2 complex [GO:0097135]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; X chromosome [GO:0000805]; Y chromosome [GO:0000806]	GO:0000082; GO:0000122; GO:0000287; GO:0000307; GO:0000781; GO:0000793; GO:0000805; GO:0000806; GO:0004672; GO:0004674; GO:0004693; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0006281; GO:0006468; GO:0006813; GO:0007099; GO:0007165; GO:0007265; GO:0008284; GO:0010389; GO:0010468; GO:0015030; GO:0016301; GO:0016572; GO:0018105; GO:0019904; GO:0030332; GO:0031453; GO:0032298; GO:0032869; GO:0035173; GO:0043231; GO:0044877; GO:0045893; GO:0051301; GO:0051321; GO:0051591; GO:0051602; GO:0097123; GO:0097124; GO:0097134; GO:0097135; GO:0097472; GO:0106310	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	KOG0594;	None	CLU_000288_181_1_1;	HKEKCIY;	None	PF00069;	SM00220;	SSF56112;
Q9JHU3	Chordata	Eukaryota	Mammalia	cilium [GO:0005929]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; cell cycle [GO:0007049]; cell division [GO:0051301]; embryonic brain development [GO:1990403]; embryonic camera-type eye development [GO:0031076]; embryonic skeletal system development [GO:0048706]; floor plate formation [GO:0021508]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; neural tube closure [GO:0001843]; protein localization to cilium [GO:0061512]; protein phosphorylation [GO:0006468]; regulation of protein maturation [GO:1903317]; regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901620]; roof of mouth development [GO:0060021]	cell cycle [GO:0007049]; cell division [GO:0051301]; embryonic brain development [GO:1990403]; embryonic camera-type eye development [GO:0031076]; embryonic skeletal system development [GO:0048706]; floor plate formation [GO:0021508]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; neural tube closure [GO:0001843]; protein localization to cilium [GO:0061512]; protein phosphorylation [GO:0006468]; regulation of protein maturation [GO:1903317]; regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901620]; roof of mouth development [GO:0060021]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine kinase activity [GO:0106310]	cilium [GO:0005929]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	GO:0001843; GO:0004693; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005929; GO:0006468; GO:0007049; GO:0021508; GO:0031076; GO:0048706; GO:0051301; GO:0060021; GO:0061512; GO:0106310; GO:1901620; GO:1901621; GO:1903317; GO:1990403	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (CDK-related protein kinase PNQLARE) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	KOG0659;	None	CLU_000288_181_1_1;	KITFPYH;	1367115at2759;	PF00069;	SM00220;	SSF56112;
Q8GVD7	Streptophyta	Eukaryota	Magnoliopsida	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	None	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	None	GO:0004674; GO:0005524	Cyclin-dependent kinase	Protein kinase superfamily	None	None	None	None	None	PF00069;	SM00220;	SSF56112;
Q8GVD8	Streptophyta	Eukaryota	Magnoliopsida	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	None	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	None	GO:0004674; GO:0005524	Cyclin-dependent kinase	Protein kinase superfamily	None	None	None	None	None	PF00069;	SM00220;	SSF56112;
P48479	Ascomycota	Eukaryota	Sordariomycetes	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; positive regulation of chemotaxis [GO:0050921]	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; positive regulation of chemotaxis [GO:0050921]	ATP binding [GO:0005524]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0007049; GO:0007059; GO:0050921; GO:0051301; GO:0106310	G2-specific protein kinase nim-1 (EC 2.7.11.1)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	None	None	CLU_000288_63_23_1;	MQSHDFA;	None	PF07714;	SM00220;	SSF56112;
P11837	Ascomycota	Eukaryota	Eurotiomycetes	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; G2/M transition of mitotic cell cycle [GO:0000086]; histone H3-S10 phosphorylation [GO:0043987]; positive regulation of mitotic nuclear division [GO:0045840]; protein phosphorylation [GO:0006468]	cell division [GO:0051301]; chromosome segregation [GO:0007059]; G2/M transition of mitotic cell cycle [GO:0000086]; histone H3-S10 phosphorylation [GO:0043987]; positive regulation of mitotic nuclear division [GO:0045840]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	GO:0000086; GO:0004672; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0007059; GO:0043987; GO:0045840; GO:0051301; GO:0106310	G2-specific protein kinase nimA (EC 2.7.11.1) (Never in mitosis)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	None	None	CLU_000288_63_23_1;	None	None	PF07714;	SM00220;	SSF56112;
P43568	Ascomycota	Eukaryota	Saccharomycetes	cytoplasm [GO:0005737]; mediator complex [GO:0016592]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein kinase activating kinase activity [GO:0019912]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic cell cycle [GO:0051321]; negative regulation of transcription initiation from RNA polymerase II promoter [GO:0060633]; protein phosphorylation [GO:0006468]	G2/M transition of mitotic cell cycle [GO:0000086]; meiotic cell cycle [GO:0051321]; negative regulation of transcription initiation from RNA polymerase II promoter [GO:0060633]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; cyclin-dependent protein kinase activating kinase activity [GO:0019912]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine kinase activity [GO:0106310]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]	cytoplasm [GO:0005737]; mediator complex [GO:0016592]; nucleus [GO:0005634]	GO:0000086; GO:0004693; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0008353; GO:0016592; GO:0019912; GO:0051321; GO:0060633; GO:0106310	Serine/threonine-protein kinase CAK1 (EC 2.7.11.22) (CDK-activating kinase)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	KOG0594;	None	CLU_000288_181_1_1;	SIDITHC;	None	PF00069;	SM00220;	SSF56112;
Q9W739	Chordata	Eukaryota	Amphibia	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; cell cycle [GO:0007049]; cell division [GO:0051301]	cell cycle [GO:0007049]; cell division [GO:0051301]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine kinase activity [GO:0106310]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]	GO:0004693; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0005815; GO:0007049; GO:0008353; GO:0051301; GO:0106310	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	None	None	None	None	None	PF00069;	SM00220;	SSF56112;
